date,hour,day,pm25
2018-08-17,19,17,18.6
2018-08-17,20,17,21.9
2018-08-17,21,17,27.4
2018-08-17,22,17,25.2
2018-08-17,23,17,22.1
2018-08-18,00,18,19.5
2018-08-18,01,18,20.2
2018-08-18,02,18,18.6
2018-08-18,03,18,20.3
2018-08-18,04,18,19.1
2018-08-18,05,18,17.5
2018-08-18,06,18,17.7
2018-08-18,07,18,20.8
2018-08-18,08,18,20.4
2018-08-18,09,18,19.7
2018-08-18,10,18,21.6
2018-08-18,11,18,23.3
2018-08-18,12,18,26.7
2018-08-18,13,18,25.9
2018-08-18,14,18,26.4
2018-08-18,15,18,24.8
2018-08-18,16,18,19.8
2018-08-18,17,18,17.9
2018-08-18,18,18,25.9
2018-08-18,19,18,30.4
2018-08-18,20,18,29.7
2018-08-18,21,18,29.3
2018-08-18,22,18,26.1
2018-08-18,23,18,24.5
2018-08-19,00,19,23.7
2018-08-19,01,19,22.3
2018-08-19,02,19,19.6
2018-08-19,03,19,16.3
2018-08-19,04,19,17.6
2018-08-19,05,19,18.8
2018-08-19,06,19,20.4
2018-08-19,07,19,19.2
2018-08-19,08,19,19.1
2018-08-19,09,19,19.5
2018-08-19,10,19,17.5
2018-08-19,11,19,15.9
2018-08-19,12,19,17.7
2018-08-19,13,19,20
2018-08-19,14,19,29.7
2018-08-19,15,19,39.3
2018-08-19,16,19,53.1
2018-08-19,17,19,72.1
2018-08-19,18,19,88
2018-08-19,19,19,82
2018-08-19,20,19,66.5
2018-08-19,21,19,52.7
2018-08-19,22,19,49.3
2018-08-19,23,19,37.6
2018-08-20,00,20,31.3
2018-08-20,01,20,29.6
2018-08-20,02,20,29.3
2018-08-20,03,20,27.6
2018-08-20,04,20,26.8
2018-08-20,05,20,31.9
2018-08-20,06,20,26.4
2018-08-20,07,20,26.2
2018-08-20,08,20,25.1
2018-08-20,09,20,28
2018-08-20,10,20,33
2018-08-20,11,20,41.7
2018-08-20,12,20,66.3
2018-08-20,13,20,81.7
2018-08-20,14,20,88.3
2018-08-20,15,20,92.1
2018-08-20,16,20,94.1
2018-08-20,17,20,93
2018-08-20,18,20,95.5
2018-08-20,19,20,93.2
2018-08-20,20,20,94.6
2018-08-20,21,20,93.3
2018-08-20,22,20,97.1
2018-08-20,23,20,98.5
2018-08-21,00,21,100.2
2018-08-21,01,21,100.6
2018-08-21,02,21,101.7
2018-08-21,03,21,100.9
2018-08-21,04,21,105.3
2018-08-21,05,21,111.4
2018-08-21,06,21,111.9
2018-08-21,07,21,114.6
2018-08-21,08,21,114.8
2018-08-21,09,21,112.2
2018-08-21,10,21,113
2018-08-21,11,21,112.3
2018-08-21,12,21,103.9
2018-08-21,13,21,93
2018-08-21,14,21,89.9
2018-08-21,15,21,86.2
2018-08-21,16,21,87.2
2018-08-21,17,21,88.6
2018-08-21,18,21,90.2
2018-08-21,19,21,92
2018-08-21,20,21,94.8
2018-08-21,21,21,98.7
2018-08-21,22,21,102.5
2018-08-21,23,21,102.9
2018-08-22,00,22,103
2018-08-22,01,22,103.2
2018-08-22,02,22,104.4
2018-08-22,03,22,103.8
2018-08-22,04,22,105.2
2018-08-22,05,22,106.9
2018-08-22,06,22,107.8
2018-08-22,07,22,108
2018-08-22,08,22,108.1
2018-08-22,09,22,109.6
2018-08-22,10,22,110.5
2018-08-22,11,22,110.4
2018-08-22,12,22,107.1
2018-08-22,13,22,102.3
2018-08-22,14,22,94.4
2018-08-22,15,22,86.9
2018-08-22,16,22,86.8
2018-08-22,17,22,86.5
2018-08-22,18,22,86.6
2018-08-22,19,22,88.8
2018-08-22,20,22,91.6
2018-08-22,21,22,82.2
2018-08-22,22,22,81.4
2018-08-22,23,22,78.8
2018-08-23,00,23,79.1
2018-08-23,01,23,83.6
2018-08-23,02,23,87.6
2018-08-23,03,23,84.7
2018-08-23,04,23,78.7
2018-08-23,05,23,60.1
2018-08-23,06,23,42
2018-08-23,07,23,26
2018-08-23,08,23,17
2018-08-23,09,23,11.4
2018-08-23,10,23,9.2
2018-08-23,11,23,9.1
2018-08-23,12,23,8
2018-08-23,13,23,8
2018-08-23,14,23,7.4
2018-08-23,15,23,11.2
2018-08-23,16,23,13.1
2018-08-23,17,23,12.5
2018-08-23,18,23,12.2
2018-08-23,19,23,12.6
2018-08-23,20,23,21.3
2018-08-23,21,23,34.1
2018-08-23,22,23,43.5
2018-08-23,23,23,38.7
2018-08-24,00,24,30.4
2018-08-24,01,24,25.7
2018-08-24,02,24,23.8
2018-08-24,03,24,20.4
2018-08-24,04,24,19.2
2018-08-24,05,24,18.6
2018-08-24,06,24,17.8
2018-08-24,07,24,16.4
2018-08-24,08,24,17.6
2018-08-24,09,24,20.3
2018-08-24,10,24,25.6
2018-08-24,11,24,29.3
2018-08-24,12,24,31.1
2018-08-24,13,24,34
2018-08-24,14,24,37
2018-08-24,15,24,36.5
2018-08-24,16,24,36.7
2018-08-24,17,24,45.3
2018-08-24,18,24,52.1
2018-08-24,19,24,68.6
2018-08-24,20,24,90.3
2018-08-24,21,24,83.1
2018-08-24,22,24,69
2018-08-24,23,24,59.5
2018-08-25,00,25,49.2
2018-08-25,01,25,47.6
